period,flow,reporterCode,partnerCode,primaryValue
2016,X,360,392,16101544919.0
2016,X,360,404,200781392.0
2016,X,360,410,7007623660.0
2016,X,360,414,121685823.0
2016,X,360,446,5071360.0
2016,X,360,458,7112008233.0
2016,X,360,484,815126411.0
2016,X,360,496,5672415.0
2016,X,360,504,95614814.0
2016,X,360,512,201899454.0
2016,X,360,528,3254915907.0
2016,X,360,554,366543144.0
2016,X,360,586,2018232586.0
2016,X,360,604,159092687.0
2016,X,360,608,5270872707.0
2016,X,360,616,370027192.0
2016,X,360,634,57545851.0
2016,X,360,643,1261604618.0
2016,X,360,682,1333074993.0
2016,X,360,702,11246431902.0
2016,X,360,704,3045496445.0
2016,X,360,710,727879981.0
2016,X,360,724,1579275490.0
2016,X,360,757,2199902333.0
2016,X,360,764,5392399348.0
2016,X,360,784,1612105635.0
2016,X,360,792,1024069768.0
2016,X,360,818,1110437906.0
2016,X,360,826,1590356852.0
2016,X,360,834,154452805.0
2016,X,682,12,573604427.137
2016,X,682,24,27714531.925
2016,X,682,31,2027710.444
2016,X,682,32,126698165.373
2016,X,682,36,318168917.903
2016,X,682,50,426588085.718
2016,X,682,76,415713711.701
2016,X,682,124,70490341.23
2016,X,682,144,73425094.055
2016,X,682,152,17028447.212
2016,X,682,156,4948566131.687
2016,X,682,170,29905461.992
2016,X,682,192,358176.394
2016,X,682,214,6618128.985
2016,X,682,218,14633759.315
2016,X,682,251,335549407.438
2016,X,682,276,226130652.782
2016,X,682,288,59949874.023
2016,X,682,344,253519012.161
2016,X,682,360,542475618.07
2016,X,682,364,575802.558
2016,X,682,368,406573946.224
2016,X,682,380,700601561.786
2016,X,682,384,66913644.562
2016,X,682,392,705342131.712
2016,X,682,404,252449550.254
2016,X,682,410,696380787.685
2016,X,682,414,1814572820.136
2016,X,682,458,1283079055.671
2016,X,682,484,95475745.051
2016,X,682,496,218159.561
2016,X,682,504,350175965.887
2016,X,682,512,801169652.388
2016,X,682,528,416738368.222
2016,X,682,554,98380894.317
2016,X,682,586,742506066.34
2016,X,682,604,86735227.573
2016,X,682,608,57284486.915
2016,X,682,616,347093728.665
2016,X,682,634,1671478816.939
2016,X,682,643,12388422.707
2016,X,682,702,2285423827.278
2016,X,682,704,599320052.081
2016,X,682,710,296003319.754
2016,X,682,724,564791634.303
2016,X,682,757,284734231.616
2016,X,682,764,567850402.038
2016,X,682,784,6853824254.286
2016,X,682,792,1573776670.89
2016,X,682,818,1567173743.732
2016,X,682,826,471656437.306
2016,X,682,834,129991894.688
2016,X,792,12,1830251772.0
2016,X,792,24,132353762.0
2016,X,792,31,1387885891.0
2016,X,792,32,130303952.0
2016,X,792,36,661502226.0
2016,X,792,50,340496167.0
2016,X,792,76,342379797.0
2016,X,792,124,778817238.0
2016,X,792,144,54910041.0
2016,X,792,152,222450353.0
2016,X,792,156,2378537723.0
2016,X,792,170,188570184.0
2016,X,792,192,6628995.0
2016,X,792,214,42157706.0
2016,X,792,218,38966389.0
2016,X,792,251,6313204146.0
2016,X,792,276,15164954450.0
2016,X,792,288,303185535.0
2016,X,792,344,409437649.0
2016,X,792,360,258839374.0
2016,X,792,364,5462153830.0
2016,X,792,368,8496075909.0
2016,X,792,376,3054604406.0
2016,X,792,380,7857667242.0
2016,X,792,384,119054901.0
2016,X,792,392,359198353.0
2016,X,792,404,137561609.0
2016,X,792,410,553437054.0
2016,X,792,414,441873110.0
2016,X,792,446,5665546.0
2016,X,792,458,329254474.0
2016,X,792,484,475730428.0
2016,X,792,496,25744263.0
2016,X,792,504,1489797501.0
2016,X,792,512,247989207.0
2016,X,792,528,3843717999.0
2016,X,792,554,97913949.0
2016,X,792,586,373931404.0
2016,X,792,604,88148699.0
2016,X,792,608,114061949.0
2016,X,792,616,2752851090.0
2016,X,792,634,486428533.0
2016,X,792,643,1792916121.0
2016,X,792,682,3264122558.0
2016,X,792,702,427215623.0
2016,X,792,704,242394767.0
2016,X,792,710,423282058.0
2016,X,792,724,5228613421.0
2016,X,792,757,2740007011.0
2016,X,792,764,184417276.0
2016,X,792,784,5542246979.0
2016,X,792,818,2832073457.0
2016,X,792,826,11961673292.0
2016,X,792,834,97388173.0
2016,X,528,12,934030780.391
2016,X,528,24,176803963.141
2016,X,528,31,128587355.356
2016,X,528,32,789105191.442
