year,section,exports,imports
2024,0,54455932051.0,85888579175.0
2024,1,3016575265.0,3428229636.0
2024,2,30670459060.0,44514367626.0
2024,3,217110208034.0,210078328986.0
2024,4,82841849019.0,22543866765.0
2024,5,112637888409.0,118462516278.0
2024,6,138008862499.0,133729973575.0
2024,7,688909474957.0,601671353629.0
2024,8,170347398664.0,98974730142.0
2024,9,9714490943.0,20542993077.0
2024,overall,1507713138901.0,1339834938889.0
2025,0,58867400813.0,92770403799.0
2025,1,2851504615.0,3365561170.0
2025,2,33946838678.0,51705418981.0
2025,3,179284785270.0,174844734023.0
2025,4,88419766927.0,13365311433.0
2025,5,108922395457.0,116269296340.0
2025,6,133309058983.0,123653108319.0
2025,7,808119591182.0,746943735973.0
2025,8,179206780162.0,101432991367.0
2025,9,13544918688.0,27529193131.0
2025,overall,1606473040775.0,1451879754536.0
