Country,ISO3,Project_007_Region,Official_Region,Sub_Region,Source,Notes
Morocco,MAR,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Mozambique,MOZ,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Namibia,NAM,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Niger,NER,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Nigeria,NGA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Rwanda,RWA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Senegal,SEN,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Seychelles,SYC,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Sierra Leone,SLE,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Somalia, Fed. Rep.",SOM,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
South Africa,ZAF,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
South Sudan,SSD,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Sudan,SDN,Africa,Sub-Saharan Africa ,Northern Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Tanzania,TZA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Togo,TGO,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Tunisia,TUN,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Uganda,UGA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Zambia,ZMB,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Zimbabwe,ZWE,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
China,CHN,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Hong Kong SAR, China",HKG,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Japan,JPN,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Korea, Dem. People's Rep.",PRK,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Korea, Rep.",KOR,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Macao SAR, China",MAC,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Mongolia,MNG,East Asia,East Asia & Pacific,Eastern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Albania,ALB,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Andorra,AND,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Austria,AUT,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Belarus,BLR,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Belgium,BEL,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Bosnia and Herzegovina,BIH,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Bulgaria,BGR,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Channel Islands,CHI,Europe,Europe & Central Asia,,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)","Channel Islands (Jersey/Guernsey, UK Crown Dependencies) have no UN M49 sub-region; assigned Europe by geography."
Croatia,HRV,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Czechia,CZE,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Denmark,DNK,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Estonia,EST,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Faroe Islands,FRO,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Finland,FIN,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
France,FRA,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Germany,DEU,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Gibraltar,GIB,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Greece,GRC,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Hungary,HUN,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Iceland,ISL,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Ireland,IRL,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Isle of Man,IMN,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Italy,ITA,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Kazakhstan,KAZ,Europe,Europe & Central Asia,Central Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Kosovo,XKX,Europe,Europe & Central Asia,,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",Kosovo has a non-standard/provisional ISO code (XKX) not present in the UN M49 reference table used; assigned Europe (Balkans) by geography.
Kyrgyz Republic,KGZ,Europe,Europe & Central Asia,Central Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Latvia,LVA,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Liechtenstein,LIE,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Lithuania,LTU,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Luxembourg,LUX,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Malta,MLT,Europe,"Middle East, North Africa, Afghanistan & Pakistan",Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Moldova,MDA,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Monaco,MCO,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Montenegro,MNE,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Netherlands,NLD,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
