Country,ISO3,Project_007_Region,Official_Region,Sub_Region,Source,Notes
Gabon,GAB,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Gambia, The",GMB,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Ghana,GHA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Guinea,GIN,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Kenya,KEN,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Lesotho,LSO,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Liberia,LBR,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Libya,LBY,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Madagascar,MDG,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Malawi,MWI,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Mali,MLI,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Mauritania,MRT,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Mauritius,MUS,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
